score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,close,date,fwd_5d,fwd_10d,fwd_20d
-4,11,0,2,0,3,"['trend_break', 'volume_divergence', 'volatility_drop']",3.0,动能结束期,15.585936551257978,32.05552789322884,-6.56958976735321,0,55.5,2026-05-15,-0.03279279279279279,-0.036036036036036,-0.026846846846846906
-4,11,0,2,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,18.708269736716026,26.016259925325954,-39.33905202775484,0,53.68,2026-05-22,-0.003353204172876323,-0.0037257824143070994,-0.03166915052160957
-4,11,0,2,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,18.456224380178913,33.82466430344316,-45.96564403211281,0,53.5,2026-05-29,-0.00037383177570093906,0.009532710280373724,-0.09158878504672896
-2,11,0,1,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,16.60803577444395,36.54460348003927,-36.021120218255646,0,53.48,2026-06-05,0.00991024682124153,-0.028047868362004458,-0.06320119670905
-1,11,0,1,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,16.164952853765197,45.158800972098234,-40.691541153238134,0,54.01,2026-06-12,-0.03758563229031664,-0.10016663580818363,-0.08294760229587106
-2,11,0,1,0,0,[],2.5,阶段2.5-得分触底未共振,23.475739639449905,29.225447715068,-64.46489802570369,0,47.23,2026-06-26,0.0393817488884185,0.04763921236502222,0.1437645564260006
3,11,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,28.679758397321734,40.66910160183928,-57.107272997465216,0,49.09,2026-07-03,0.007944591566510395,0.032796903646363784,0.11835404359339985
2,11,1,0,0,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,28.90879654951481,43.24668091475738,-38.40727303065787,0,49.48,2026-07-10,0.024656426839126944,0.0917542441390462,0.07881972514147151
6,11,2,0,2,0,[],2.0,动能衰减期,24.38385244572966,49.946182497053286,-0.6128539645414699,0,50.7,2026-07-17,0.06548323471400397,0.08284023668639051,
6,11,1,0,4,0,[],2.0,动能衰减期,24.87846602254917,62.75124319245447,41.06586760405547,0,54.02,2026-07-24,0.0162902628656052,-0.011847463902258437,
8,11,2,0,4,0,[],2.0,动能衰减期,25.693766507347327,62.14722748240508,47.93700695510748,0,54.9,2026-07-31,-0.02768670309653909,,
6,11,2,0,2,0,[],2.0,动能衰减期,24.05059898711294,52.09982992151557,30.811234167438542,0,53.38,2026-08-07,,,
