score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,close,date,fwd_5d,fwd_10d,fwd_20d
2,11,0,0,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,16.956857404623474,53.44172013840318,-8.35584398324126,0,231.82,2026-04-10,0.12155983090328704,0.22940212233629542,0.5019842981623674
7,11,1,0,5,0,[],2.0,动能衰减期,23.482208081101085,67.91040319497336,34.63819176453854,0,260.0,2026-04-17,0.09615384615384626,0.3246538461538462,0.21823076923076923
7,11,1,0,5,0,[],2.0,动能衰减期,29.381170388697047,73.79933151087286,48.152289307069395,0,285.0,2026-04-24,0.20845614035087734,0.22171929824561398,0.11154385964912295
9,11,2,0,5,1,['volume_divergence'],1.0,强动能期,36.63837823951875,68.29400507739791,68.37206124412052,0,323.28,2026-05-08,-0.06270106409304621,-0.03365503588220742,-0.15225191784211822
6,11,1,0,4,1,['volume_divergence'],2.0,动能衰减期,37.39065220244586,53.882963152680496,56.658751064630884,0,303.01,2026-05-15,0.030989076268109983,-0.030065014355961872,-0.07593808785188605
3,11,0,1,5,0,[],2.5,阶段2.5-得分触底未共振,32.37235982472389,55.862125252488994,27.685435471355742,0,312.4,2026-05-22,-0.05921895006402045,-0.12272727272727268,0.04769526248399503
0,11,0,1,2,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,31.43132426400203,46.87566945369502,17.01971468702313,0,293.9,2026-05-29,-0.0675059544062605,-0.04729499829874095,0.20734943858455268
-4,11,0,2,0,0,[],2.5,阶段2.5-得分触底未共振,23.11702303550651,41.81840034494992,-22.535331057634014,0,274.06,2026-06-05,0.021674085966576717,0.19426402977450197,0.2369554112238197
-1,11,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,20.225209674896384,46.16555142114624,-22.35349020717684,0,280.0,2026-06-12,0.16892857142857154,0.2672857142857141,0.2321428571428572
6,11,1,0,4,1,['volume_divergence'],2.0,动能衰减期,28.16830330423809,61.17599601470877,40.578101788692635,0,344.9,2026-06-26,-0.056538126993331383,0.02348506813569151,-0.08877935633516965
6,11,1,0,4,0,[],2.0,动能衰减期,31.331009589313958,51.78600489906787,36.522514758153164,0,325.4,2026-07-03,0.08481868469575904,-0.06306084818684687,-0.14874001229256295
7,11,1,0,5,0,[],2.0,动能衰减期,31.18280525980932,57.703955777642015,43.6542055452617,0,353.0,2026-07-10,-0.13631728045325775,-0.10968838526912184,-0.1621813031161473
4,11,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,25.301419673130095,42.444584567070706,3.6138051356158267,0,304.88,2026-07-17,0.030831802676462905,-0.09144581474678559,
3,11,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,19.57758949637405,46.25440951102312,-13.394724957744495,0,314.28,2026-07-24,-0.11862033855160992,-0.05896016291205286,
-2,11,0,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.436207565842484,37.28351539910108,-42.23731448927397,0,277.0,2026-07-31,0.06768953068592065,,
-1,11,0,1,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.552476518192353,46.74004252947997,-38.12145549343995,0,295.75,2026-08-07,,,
