score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,turnover_signal,sector_relative_signal,close,date,fwd_5d,fwd_10d,fwd_20d
3,14,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,15.803628583763572,54.39295555103424,1.3075952688437156,0,0,0,80.85,2026-05-29,0.010389610389610393,0.029437229437229595,-0.04427952999381568
4,14,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,17.006634456771412,55.73985198643764,30.89083562521195,0,0,1,81.69,2026-06-05,0.018851756640959838,-0.041743175419267975,-0.020687966703390792
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,19.187358714806383,57.04958630758049,46.621309510552535,0,0,1,83.23,2026-06-12,-0.05947374744683409,-0.07160879490568317,-0.03400216268172529
4,14,1,0,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.865607931485346,44.60036906371674,-24.44824757462968,0,0,1,78.55,2026-06-26,-0.007511139401655043,0.005601527689369723,0.07574793125397838
-3,14,0,2,1,0,[],2.5,阶段2.5-得分触底未共振,21.331240305356857,46.04117725761628,-25.337082455796264,0,0,0,77.96,2026-07-03,0.013211903540277126,0.06092868137506424,0.12365315546434075
1,14,0,0,1,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,18.57031673018045,49.39719222218699,-4.8216534615078395,0,0,0,78.99,2026-07-10,0.04709456893277619,0.06975566527408539,0.05709583491581216
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,17.220083107665275,60.77892996505868,35.74025424196588,0,0,0,82.71,2026-07-17,0.02164188127191391,0.05912223431265873,
6,14,1,0,4,1,['volume_divergence'],2.0,动能衰减期,21.59250043571527,64.69822737411133,51.96739982092058,0,0,0,84.5,2026-07-24,0.0366863905325443,-0.011834319526627168,
9,14,2,0,5,0,[],2.0,动能衰减期,25.411191556341617,67.86506094476763,57.62213112688982,0,0,0,87.6,2026-07-31,-0.04680365296803646,,
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,22.420284515466463,49.392514321099824,33.531708980660554,0,0,0,83.5,2026-08-07,,,
