observation_date,DEXTHUS
1992-01-24,25.3600
1992-01-27,25.3900
1992-01-28,25.3800
1992-01-29,25.3800
1992-01-30,25.3900
1992-01-31,25.4000
1992-02-03,25.4000
1992-02-04,
1992-02-05,
1992-02-06,
1992-02-07,25.3600
1992-02-10,25.3400
1992-02-11,25.3800
1992-02-12,25.4000
1992-02-13,25.4300
1992-02-14,25.4600
1992-02-17,
1992-02-18,25.4400
1992-02-19,25.4800
1992-02-20,25.5100
1992-02-21,25.5200
1992-02-24,25.5300
1992-02-25,25.5300
1992-02-26,25.5600
1992-02-27,25.5300
1992-02-28,25.5300
1992-03-02,25.5300
1992-03-03,25.5400
1992-03-04,25.6000
1992-03-05,25.6100
1992-03-06,
1992-03-09,
1992-03-10,25.6100
1992-03-11,
1992-03-12,25.6800
1992-03-13,25.6900
1992-03-16,25.6800
1992-03-17,25.6800
1992-03-18,25.6300
1992-03-19,25.6300
1992-03-20,25.6800
1992-03-23,25.7000
1992-03-24,25.6500
1992-03-25,25.6600
1992-03-26,25.6300
1992-03-27,25.6600
1992-03-30,25.6200
1992-03-31,25.6200
1992-04-01,25.6200
1992-04-02,25.6800
1992-04-03,25.6600
1992-04-06,25.6600
1992-04-07,25.6200
1992-04-08,25.6100
1992-04-09,25.6200
1992-04-10,25.5900
1992-04-13,25.6100
1992-04-14,25.6100
1992-04-15,25.6300
1992-04-16,25.6500
1992-04-17,
1992-04-20,
1992-04-21,25.6800
1992-04-22,25.6800
1992-04-23,25.6600
1992-04-24,25.6800
1992-04-27,25.6800
1992-04-28,25.6500
1992-04-29,25.6400
1992-04-30,25.6400
1992-05-01,
1992-05-04,25.6100
1992-05-05,25.6100
1992-05-06,25.6100
1992-05-07,25.6000
1992-05-08,25.5950
1992-05-11,25.6300
1992-05-12,25.6300
1992-05-13,25.5500
1992-05-14,25.5100
1992-05-15,25.5400
1992-05-18,25.5300
1992-05-19,25.4900
1992-05-20,25.5100
1992-05-21,25.5100
1992-05-22,25.5100
1992-05-25,
1992-05-26,25.4900
1992-05-27,25.4900
